Brand,Model,Screen_Tech,Screen_Size,Power_Consumption,Star_Rating
Grundig,24GFU,LCD,24,41,6.0
Haier,75H,LCD (LED),75,255,3.5
Haier,65H,LCD (LED),65,205,4.0
Haier,55H,LCD (LED),55,155,4.5
Haier,50H,LCD (LED),50,133,5.0
Haier,43H,LCD (LED),43,105,5.0
Haier,32H,LCD,32,68,5.5
Skyworth,75S,LCD (LED),75,252,3.5
Skyworth,65S,LCD (LED),65,202,4.0
Skyworth,55S,LCD (LED),55,152,4.5
Skyworth,50S,LCD (LED),50,130,5.0
Skyworth,43S,LCD (LED),43,103,5.0
Skyworth,32S,LCD,32,66,5.5
JVC,65JVC,LCD (LED),65,200,4.0
JVC,55JVC,LCD (LED),55,150,4.5
JVC,50JVC,LCD (LED),50,128,5.0
JVC,43JVC,LCD (LED),43,102,5.0
JVC,32JVC,LCD,32,65,5.5
Beko,55BK,LCD (LED),55,152,4.5
Beko,43BK,LCD (LED),43,103,5.0
Beko,32BK,LCD,32,66,5.5
Toshiba,75TL,LCD (LED),75,253,3.5
Toshiba,65TL,LCD (LED),65,200,4.0
Toshiba,55TL,LCD (LED),55,151,4.5
Toshiba,50TL,LCD (LED),50,129,5.0
Toshiba,43TL,LCD (LED),43,103,5.0
Toshiba,32TL,LCD,32,66,5.5
Vizio,75V,LCD (LED),75,256,3.5
Vizio,65V,LCD (LED),65,204,4.0
Vizio,55V,LCD (LED),55,154,4.5
Vizio,50V,LCD (LED),50,131,5.0
Vizio,43V,LCD (LED),43,104,5.0
Vizio,32V,LCD,32,67,5.5
Xiaomi,75MI,LCD (LED),75,252,4.0
Xiaomi,65MI,LCD (LED),65,200,4.5
Xiaomi,55MI,LCD (LED),55,150,5.0
Xiaomi,50MI,LCD (LED),50,128,5.0
Xiaomi,43MI,LCD (LED),43,102,5.5
Xiaomi,32MI,LCD,32,65,5.5
Realme,55RM,LCD (LED),55,149,4.5
Realme,43RM,LCD (LED),43,101,5.0
Realme,32RM,LCD,32,64,5.5
OnePlus,65OP,LCD (LED),65,198,4.5
OnePlus,55OP,LCD (LED),55,148,5.0
OnePlus,43OP,LCD (LED),43,100,5.5
Thomson,55T,LCD (LED),55,150,4.5
Thomson,43T,LCD (LED),43,102,5.0
Thomson,32T,LCD,32,65,5.5
Conia,55CO,LCD (LED),55,152,4.5
Conia,43CO,LCD (LED),43,103,5.0
Conia,32CO,LCD,32,66,5.5
Soniq,65SQ,LCD (LED),65,202,4.0
Soniq,55SQ,LCD (LED),55,153,4.5
Soniq,50SQ,LCD (LED),50,130,5.0
Soniq,43SQ,LCD (LED),43,104,5.0
Soniq,32SQ,LCD,32,67,5.5
Lexi,43LX,LCD (LED),43,103,5.0
Lexi,32LX,LCD,32,66,5.5
Lexi,24LX,LCD,24,41,6.0
